file,scene,feature,n_windows,sync_strength,ctrl_strength,s_sync_real,s_sync_rand_mean,s_sync_rand_std,p_value,test,significant,pos_sync_ratio,neg_sync_ratio,human_follow_ratio,ai_follow_ratio,simultaneous_ratio,mean_abs_lag
arguing_S24,arguing,intensity_min,4,0.6761151547321845,0.7431726251362781,0.219077125802195,0.1998443608804996,0.1212401214745581,0.863345389720886,MW,False,0.5,0.5,0.5,0.5,0.0,2.5
arguing_S24,arguing,intensity_std,4,0.7128420664470391,0.737777581229232,0.1372485618754574,0.1782740822224206,0.070345233676144,0.8029058102804255,t,False,0.75,0.25,0.5,0.5,0.0,4.25
arguing_S24,arguing,speech_rate,4,0.800052714402337,0.7204107151831443,0.1858005821328521,0.191609292905413,0.1172621024642448,0.2744457937764818,t,False,1.0,0.0,0.25,0.75,0.0,3.5
arguing_S24,arguing,mfcc_centroid_dist,3,0.8137797706819622,0.7187077806975223,0.1605594811644257,0.2156010766597541,0.1997595541979785,0.1296885609505823,t,False,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,4.333333333333333
arguing_S24,arguing,embedding_cosine_dist,4,0.7556172729770287,0.7750874162313199,0.1488764069155504,0.1935917535402551,0.0932939676477956,0.7132205646899752,t,False,1.0,0.0,0.5,0.5,0.0,4.25
arguing_S25,arguing,pitch_mean,4,0.8310381215881318,0.7644798003555048,0.3025915896404448,0.2383662701322351,0.1602061605337761,0.3484374473018911,t,False,0.25,0.75,0.5,0.5,0.0,2.25
arguing_S25,arguing,pitch_max,4,0.83186809698206,0.7514729993606741,0.1980139184652691,0.1852486639474106,0.091134763718702,0.0040040535094011,t,True,0.0,1.0,0.5,0.5,0.0,3.5
arguing_S25,arguing,pitch_min,4,0.8431398444291425,0.7466839988925325,0.213692731731763,0.1897395079753941,0.1249970015121901,0.0051277825255387,t,True,0.25,0.75,0.25,0.75,0.0,4.0
arguing_S25,arguing,pitch_std,4,0.7760406141706606,0.7523255987751437,0.1694530578396121,0.1866693538342977,0.105940990248617,0.7182623989219126,t,False,0.0,1.0,0.25,0.75,0.0,4.0
arguing_S25,arguing,intensity_mean,5,0.6403759729129673,0.7495756397060431,0.3224064371087166,0.1966008060706162,0.079648007859286,0.0396264109301487,t,True,0.6,0.4,0.2,0.6,0.2,1.4
arguing_S25,arguing,intensity_max,5,0.7320902408904248,0.7599990155900751,0.136347187092069,0.1856199753882796,0.0879275316590146,0.8050873960828375,t,False,0.2,0.8,0.2,0.8,0.0,4.4
arguing_S25,arguing,intensity_min,5,0.7401876341533441,0.7301011602015822,0.1574652161066141,0.1970786913699788,0.1237890673850314,0.5169691163031895,MW,False,0.2,0.8,0.2,0.8,0.0,3.8
arguing_S25,arguing,intensity_std,5,0.7206775871218524,0.7406705231781249,0.1639738662489775,0.1843029103159964,0.0770846315532144,0.7838767883162999,MW,False,0.4,0.6,0.6,0.4,0.0,3.6
