file,scene,feature,s_sync_real,s_sync_rand_mean,s_sync_rand_std,slope,slope_rand_mean,slope_rand_std,norm_sync,norm_conv,EI_raw,EI
arguing_S05,arguing,pitch_mean,0.1794613583655873,0.1921225118972558,0.1150375842034201,-0.0139112103857979,-0.009538930898855,0.0157844081726638,-0.1100610171826963,0.2769999000985685,0.083469441457936,0.1591358160833137
arguing_S05,arguing,pitch_max,0.1587392047681824,0.1987264222435255,0.1315055011621187,0.0713087899127467,-0.006661188342597,0.051393010325234,-0.3040725834430853,-1.517131955530933,-0.9106022694870092,-1.2925311780475777
arguing_S05,arguing,pitch_min,0.2619856835284719,0.20247900967277,0.1066904402949654,0.0292000447332681,0.0424845170483546,0.0076869315883697,0.557750757154856,1.728189221195341,1.1429699891750984,1.706350125122018
arguing_S05,arguing,pitch_std,0.1689005832176887,0.199411208981812,0.1200978336744204,0.0134340848828306,-0.0093866888653394,0.0120196113462726,-0.2540480942132244,-1.8986282576638345,-1.076338175938529,-1.534559336065809
arguing_S05,arguing,intensity_mean,0.1964860077867573,0.1817187072809959,0.0868756213096222,0.0005496046108204,-0.0006790678499142,0.0029248924160451,0.1699820995021279,-0.4200744116243264,-0.1250461560610992,-0.1453645608483751
arguing_S05,arguing,intensity_max,0.1760854631723771,0.1824004187478923,0.1097779986949509,0.0015500808913832,0.0005753993857078,0.0025381632576182,-0.0575247832041745,-0.3840105646277601,-0.2207676739159673,-0.2851490115757116
arguing_S05,arguing,intensity_min,0.2303200975559062,0.1941644101245868,0.1116366693772085,0.000478993928979,-0.0026667857072277,0.0052635627854732,0.3238692772994971,-0.59765215395334,-0.1368914383269214,-0.1626625134126952
arguing_S05,arguing,intensity_std,0.21696777815634,0.1860174566783648,0.1129743921016587,0.0006726653349204,0.0007533029219405,0.0014952555090475,0.2739587343840266,0.0539289683483375,0.1639438513661821,0.2766545458185276
arguing_S05,arguing,speech_rate,0.1626245846711598,0.1917514396940823,0.1093190774954719,-0.0003768620378191,0.0005875410260464,0.0008401674915171,-0.2664389024333738,1.1478700064008267,0.4407155519837264,0.6808309631456448
arguing_S05,arguing,mfcc_centroid_dist,0.2006729821576502,0.1919566753050283,0.089648426952543,2.513738630774041e-06,6.25112047927357e-07,8.678015243924969e-07,0.0972276608627614,-2.1763347145176017,-1.03955352682742,-1.480841822110479
arguing_S05,arguing,embedding_cosine_dist,0.1863336912898853,0.2034730657458872,0.1321643643888145,2.3898138543486125e-05,-3.206234019046825e-05,3.457704510626638e-05,-0.1296822674951891,-1.6184286008815914,-0.8740554341883903,-1.2391609493620526
arguing_S09,arguing,pitch_mean,0.2297247867212998,0.1898351199611547,0.0923588224450779,-0.0552699032426661,-0.0556886908151105,0.0046706253290227,0.4318988235678935,-0.0896641333746267,0.1711173450966334,0.2871301724422871
arguing_S09,arguing,pitch_max,0.1463805852504758,0.17495945876229,0.1082143907332523,0.0139870659479806,-0.02200409058886,0.0355857508747046,-0.2640949444724124,-1.0113923593621337,-0.637743651917273,-0.8940691306630438
arguing_S09,arguing,pitch_min,0.1485688991539347,0.2086040026852991,0.1400890495979673,0.0067641983163749,0.0015738358034609,0.0052304742918268,-0.4285495811675169,-0.9923311392667622,-0.7104403602171396,-1.0002298943775263
arguing_S09,arguing,pitch_std,0.1546292255280907,0.1720518451018186,0.0688333271930673,-0.0173340196040905,-0.0140053658338228,0.006435618058114,-0.2531131398727833,0.5172236357424826,0.1320552479348496,0.2300868459428412
arguing_S09,arguing,intensity_mean,0.1896808018948127,0.1951709548249416,0.1030614853909255,-0.0041695466570187,-0.0045246236030682,0.0012459826327093,-0.053270655951678,-0.2849774440895777,-0.1691240500206279,-0.2097325768851909
arguing_S09,arguing,intensity_max,0.1935989002466217,0.1761594880262104,0.0813420428039026,-0.0027745645124373,-0.0013996108263277,0.0011387298191363,0.2143960443980221,1.207445052376401,0.7109205483872117,1.0754178632751463
arguing_S09,arguing,intensity_min,0.1489925312435212,0.1880366135243195,0.122361879408723,0.0040806405494904,0.0018337495231915,0.0025829275366059,-0.3190869776556808,-0.8699009145457602,-0.5944939461007206,-0.8309105378286511
arguing_S09,arguing,intensity_std,0.1747877057182754,0.1897642453185172,0.0971046293382045,0.0031583638234692,0.0027893886883444,0.0007353422362077,-0.154230953789857,-0.5017733470984544,-0.3280021504441557,-0.4417461146769548
arguing_S09,arguing,speech_rate,0.2099734339849043,0.1877936140481636,0.1264979621796008,-0.0005898223403492,-0.0003430436727005,0.0003926517719135,0.1753373695083717,0.6284924335017763,0.401914901505074,0.6241694335693464
arguing_S09,arguing,mfcc_centroid_dist,0.1774113480986289,0.195498354633859,0.1533819230869602,4.202905488544159e-07,2.8021853735914985e-07,3.24414786283367e-07,-0.1179213702058986,-0.431768271415709,-0.2748448208108038,-0.3641191788379703
arguing_S09,arguing,embedding_cosine_dist,0.1710961323686864,0.2061277757107006,0.1053980430524669,1.3667306889812872e-05,-1.043193072423681e-06,2.4937543184910315e-05,-0.3323747038128167,-0.5898937137936613,-0.461134208803239,-0.6361620837189432
arguing_S13,arguing,pitch_mean,0.2977271020477956,0.201151023136807,0.0994799803696159,-0.0226966327250549,-0.0183654695102395,0.0040983947606794,0.9708091874582416,1.056795030183333,1.0138021088207874,1.5177231412256964
arguing_S13,arguing,pitch_max,0.1763670922646307,0.2181056569517926,0.1241938267261494,-0.0887718264468562,-0.0788938385211312,0.0148979092312901,-0.3360760014199136,0.6630452483210362,0.1634846234505612,0.2759839241716682
arguing_S13,arguing,pitch_min,0.1926972213439281,0.1735806353722727,0.0667842610160507,0.0091736084297818,0.0195990492366129,0.0036567768230897,0.2862438796329722,2.8509918190802765,1.5686178493566243,2.3279340037745944
arguing_S13,arguing,pitch_std,0.2823063762271481,0.2025602378984158,0.1220219181250309,-0.0017870646142469,-0.0033181981805479,0.0050674213797658,0.6535394587636271,-0.3021524068266381,0.1756935259684944,0.2938128801963777
arguing_S13,arguing,intensity_mean,0.1273510621717795,0.1825323094545191,0.123178902659697,0.0003078007957107,0.0005114714945831,0.0019455498350656,-0.4479764480057703,0.1046854185904379,-0.1716455147076661,-0.2134147328330356
arguing_S13,arguing,intensity_max,0.2145228059231074,0.2012878165770052,0.0813194848708575,-0.0074931980104748,-0.0056941253955385,0.0024045373882765,0.16275299046865,0.7481990605377201,0.4554760255031851,0.7023860400983657
arguing_S13,arguing,intensity_min,0.2846853099460857,0.1822663170432681,0.0834408726458998,-0.001505462308271,-0.0009314828821713,0.0024735402204642,1.2274439331124418,0.2320477432915902,0.729745838202016,1.1029088899065371
arguing_S13,arguing,intensity_std,0.1520737914251294,0.2089043005198499,0.1175411064358815,-0.0041036910060083,-0.0021506338375998,0.0009754855310676,-0.4834947604115115,2.0021385312307167,0.7593218854096025,1.146099507922714
arguing_S13,arguing,speech_rate,0.1584354035828297,0.2007717270162405,0.1004986230766737,0.0007941651977585,0.0001448659423009,0.0005230719301519,-0.4212627211928169,-1.2413192489014726,-0.8312909850471447,-1.1767109886026588
arguing_S13,arguing,mfcc_centroid_dist,0.2136842378610153,0.2167356483181351,0.1256587276765833,4.513588331057231e-07,1.959691813740361e-07,5.606183414900984e-07,-0.0242833149240013,-0.4555499398269289,-0.2399166273754651,-0.3131126920660028
